San,Fen,UCI
Rf1,2r4r/1bn1qpk1/p3p2p/1p1pP2R/3N1QP1/8/PPP3BP/3R2K1 w - - 1 28,d1f1
g4,4rr2/1p1bqnk1/p1p2n2/2Pp1ppp/1P1P1N1P/3BPRQ1/P5P1/4RNK1 b - - 0 27,g5g4
Nc3,r1bq1rk1/1pp1p1bp/n2p1np1/p2P1p2/2PN4/6P1/PP2PPBP/RNBQ1RK1 w - - 2 9,b1c3
Rdg8,2kr3r/pp2bp2/2p1pn1p/q7/3P2P1/P2BB1Q1/1PP2PP1/R4RK1 b - - 0 17,d8g8
Rxh4,2r2rk1/p4p1p/1pb1p1p1/2bp4/3N1P1q/1P1n3R/PBPQ2PP/R6K w - - 0 19,h3h4
g4,r6r/3b1pk1/3p1q2/p1n1p1p1/2PpP3/1P3PB1/P1B1QKP1/R6R b - - 8 28,g5g4
Nc4,r5rk/1p1bbn1p/pq2p3/n2pPp2/3P1P2/P2BBN1P/1P1QN3/3R1R1K b - - 4 21,a5c4
Rxa6,5rk1/5pbp/B1p2q2/2Ppp3/1P3P2/r7/P1RQ1KPP/2N4R b - - 0 19,a3a6
Rc7,8/4R3/1P3pk1/3N4/6K1/2p5/1r6/8 w - - 0 48,e7c7
Qd1+,5rk1/p1Rbbpp1/4p2p/3pP2N/3q1P2/6B1/P4QPP/6K1 b - - 1 25,d4d1
Re2,5k2/1pp3p1/2p2pnp/p1b5/P3PP2/1B3KBP/1PPr2P1/4R3 w - - 4 26,e1e2
a6,8/8/2n3k1/P2N2p1/P5K1/8/8/8 w - - 1 56,a5a6
a3,r4rk1/1pp1bppp/p1nqpn2/5b2/2PP4/2N1BN1P/PP2BPP1/R2Q1RK1 w - - 0 11,a2a3
hxg4,2k5/7p/2p2b2/1p1n3p/p1pP2P1/2P2PB1/2r5/1R4K1 b - - 1 33,h5g4
Qxg4+,2kr4/pb3R2/1p6/2q1p3/2Pp2p1/P2B4/2P1Q1PP/R5K1 w - - 0 22,e2g4
a6,2r3k1/pp3pp1/7p/3q4/8/P7/1P2Q1PP/K3R3 b - - 3 32,a7a6
Nc8,1r3rk1/ppR2pb1/1n1Np1pp/3bP3/3N4/1B4P1/PP3P1P/4R1K1 b - - 0 22,b6c8
Nxd4,r1b1kb1r/pp3ppp/2nqpn2/8/2BN4/5N2/PPP2PPP/R1BQ1RK1 b kq - 0 9,c6d4
cxd5,r4rk1/2pqb2p/p1p1p3/2PpB1p1/Q1PP2B1/4P2P/P4nP1/1RR3K1 w - - 1 22,c4d5
Re8,r2q1rk1/p2N1ppp/4p3/1Q1n4/3P4/4P3/5PPP/R4RK1 b - - 2 17,f8e8
f3,r5k1/5pp1/4p2p/p2p1b2/P1pP1B2/2P1P2P/1r3PP1/R1R3K1 w - - 0 24,f2f3
Kh6,8/3R2kp/5bp1/4p3/2P1n3/1P6/rB4PP/2K2R2 b - - 3 34,g7h6
dxe5,rnbq1rk1/ppp2pb1/3p3p/4p1p1/2PP4/2N1PNP1/PPQ2PP1/R3KB1R w KQ - 0 11,d4e5
Ke8,3r4/1p2kp2/p2Rn1p1/P2NP2p/5P2/5NP1/8/6K1 b - - 11 40,e7e8
e3,r3kbnr/ppp1pppp/2n5/3q4/3P4/5P2/PP2PP1P/RNBQKB1R w KQkq - 0 6,e2e3
Bxd4,r3r1k1/1q1b1ppp/2p2b2/2P5/1PpN4/4B2P/2Q2PP1/1R2R1K1 b - - 1 28,f6d4
