San,Fen,UCI
Bxf6,1rbq1rk1/1p1n1p1p/p2ppbp1/6B1/3NP3/6P1/PPP2PBP/R2QR1K1 w - - 0 13,g5f6
Ne6,3n1r2/1p1b4/p1p4k/2Pp1p1N/PP1PrNpP/8/1R3KP1/3R4 b - - 3 38,d8e6
Nxe6+,7r/2p3kr/1p1pp1p1/3Pq1p1/1PPN1pP1/3Q1B1P/5nK1/7R w - - 0 32,d4e6
Nbd7,rn1qkb1r/pp3ppp/2p1pn2/8/2B1N3/5Q1P/PPPP1PP1/R1B2RK1 b kq - 1 8,b8d7
O-O,r2qk2r/p2p1ppp/1pb1pn2/8/1b2P3/1PNB4/PBP2PPP/R2QK2R w KQkq - 2 10,e1g1
Ne4+,5r2/6k1/3p4/p1n1pq2/2Pp2pB/1P3P2/P3QKP1/3R4 b - - 3 36,c5e4
a6,r2qkbnr/pp1b2pp/2n1p3/3pPp2/3P1P2/2N2N2/PP4PP/R1BQKB1R b KQkq - 3 8,a7a6
g5,r1b1kb1r/5ppp/2p1pq2/2Pp4/1P3B2/2N5/P2QPKPP/R4B1R b kq - 0 12,g7g5
Kd7,2R5/1PK5/8/3k4/8/8/8/2r5 w - - 6 65,c7d7
Rc8,r2q1rk1/pp1bbpp1/2n1p2p/3pP3/5N2/3Q1NB1/PPP2PPP/R3R1K1 b - - 2 14,a8c8
Bb3,r3r1k1/ppp2pp1/1bp4p/4n3/2B1P3/6B1/PPP2PPP/R3R1K1 w - - 3 17,c4b3
Kg1,4rk2/4r1pp/1pp2p2/p2p4/P2P4/2PNR2P/1P1n1PP1/4RK2 w - - 2 26,f1g1
c4,r3kb1r/ppp1pppp/2nq1n2/5b2/3P4/5N2/PPP1BPPP/RNBQ1RK1 w kq - 5 7,c2c4
dxc4,r1bqk2r/ppp1bp1p/2n3pQ/3p2N1/2Bp4/2P5/P1P2PPP/R1B2RK1 b kq - 1 10,d5c4
Bxg7,r3k2r/pb3pp1/1pn1pB2/3q3p/3p2N1/P1PB4/2P1Q1PP/R4RK1 w kq - 0 15,f6g7
Be6,r2qk2r/pp2bppp/1np2n2/6B1/3P2b1/2N1QN2/PPP3PP/2K1RB1R b kq - 7 13,g4e6
Qxd6,r1b2rk1/pp2qpb1/1n1Qp1pp/4P3/4N3/1B3N2/PP3PPP/R3R1K1 b - - 3 17,e7d6
Rb8,r1b4r/1pq1kp2/p3pp2/4b3/8/1BP2QPp/PPN2P1K/3RR3 b - - 2 21,a8b8
Qxd5,r4rk1/2p1b2p/p1p1p3/2PqB1p1/3P2n1/1Q2P2P/P5P1/1RR3K1 w - - 0 24,b3d5
Kg5,8/8/5k2/3KNp2/4p2p/6pP/6P1/8 b - - 5 40,f6g5
O-O,r2qk2r/p4ppp/2p1pn2/3p1b2/1b1P1B2/2N1PN2/PP3PPP/R2QK2R w KQkq - 0 10,e1g1
e5,8/4p1kp/3n1bp1/8/2PB4/1P6/r5PP/2KR1R2 b - - 3 32,e7e5
e3,rnbq1rk1/ppp1ppbp/3p1np1/6B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 2 6,e2e3
e6,r1bqr1k1/1p1nppbp/p2p1np1/2pP4/P3PP2/2N2N1P/1PP1B1P1/R1BQ1RK1 b - - 0 10,e7e6
g6,2kr2nr/ppp4p/2nq1p2/6P1/3PPp2/2P5/P2B1P2/R2QKB1R w KQ - 0 14,g5g6
b6,r2qr1k1/1p1n1ppp/n1p1bb2/p1Pp4/3P4/PPN1BN1P/4BPP1/2RQR1K1 b - - 0 16,b7b6
b6,r1bq1rk1/pp3p1p/6p1/2np4/3Q4/P5P1/R1P1PPBP/1N3RK1 b - - 0 14,b7b6
h5,1K6/1p2rpkp/p5p1/P7/R1p5/8/2P5/8 b - - 1 43,h7h5
Re1,r4rk1/pp3ppp/2nqpn2/3p1b2/3P4/2P2N2/PP1NBPPP/R2Q1RK1 w - - 1 11,f1e1
Rd1+,3r4/2R5/4pk2/7p/P1n5/7P/8/7K b - - 2 48,d8d1
Kd6,3r4/ppk3b1/6Np/2nbpBpP/3p4/5P2/PP2P3/1KR3R1 b - - 3 25,c7d6
Ng5,rr2n1kb/3b1p1p/1q1p2pB/pNpP4/1nP5/R4N1P/1P1QBPP1/R5K1 w - - 4 21,f3g5
Rd8,rq3rk1/pb2bppp/1pnppn2/8/2P2Q2/1PN2NP1/PB2PPBP/R2R2K1 b - - 3 12,f8d8
h5,7k/4rq1p/Q1pb3p/3p4/3P1pR1/2P2P1P/2B2PK1/8 b - - 1 33,h6h5
Rd5,8/p4ppk/1q1Np2p/2r1n3/1P6/Q6P/1P3PP1/3R2K1 b - - 0 31,c5d5
Kf1,5bk1/3r1pp1/pprpp2p/7P/2P5/1P3PP1/PB3P2/2RR2K1 w - - 0 30,g1f1
Qc7,r1bqk2r/1p1nbppp/p1npp3/6P1/3NP2P/2N1B3/PPP1BP2/R2QK2R b KQkq - 0 10,d8c7
Kb4,8/r5p1/P7/6k1/R5P1/1K6/6P1/8 w - - 1 45,b3b4
fxe6,b2r1rk1/4bpp1/p3P3/q4n1p/2P2P2/5NPP/P1Q2BB1/R3R1K1 b - - 0 22,f7e6
Rxe2,4rk1r/1pp3pp/p2b1n2/5Q2/PqnP4/8/4NPPP/R1B2RK1 b - - 2 25,e8e2
Qf7,r3k2r/1pp1q1p1/p1nppn1p/4p3/4P2N/2PPN2P/PP3PP1/R2Q1RK1 b kq - 3 14,e7f7
gxf6,2k1r3/1p3pp1/p1p2B2/2Nb4/1P5p/1PP2PbP/3Nr1P1/R2R2K1 b - - 0 26,g7f6
Be3,2kr3r/pp2b1p1/2p1Ppp1/2n5/4n1P1/1B3N1P/PPPBN3/R1K4R w - - 3 20,d2e3
Rfe1,2r1qrk1/1bp3b1/p2p1npp/1p1Pp3/1P2P3/3B1N1P/P3QPPB/3R1RK1 w - - 0 23,f1e1
Be7,2r3rk/p6p/1p1B1p2/3P4/8/1P4P1/P4bBP/3R3K w - - 0 28,d6e7
exd5,rnbq1rk1/ppp2ppp/4pn2/3P4/3P4/P1P2P2/4P1PP/R1BQKBNR b KQ - 0 7,e6d5
Bh3,r1rq2k1/1p3p1p/3p1np1/3Pp3/bP2P3/6P1/3NQPBP/1RR3K1 w - - 0 23,g2h3
Nxd7,7k/1pqr1p1p/p3pPr1/2p1N1p1/P7/1P1P2QP/2P2RPK/8 w - - 5 31,e5d7
c5,r1r5/p3nkpp/1qp1pp2/3pPb2/1Q1P4/P1B2N2/1P3PPP/R3R1K1 b - - 5 16,c6c5
Nd2,r1b1r1k1/p4pbp/3p1np1/2nPp3/1q2P3/2N1BNPP/1PQ2PB1/R4RK1 w - - 2 16,f3d2
Nbd7,rn3rk1/ppp2ppp/q3pn2/4Q3/3P4/P1B2N2/1PP2PPP/R4RK1 b - - 2 12,b8d7
Qxc2,5r1k/5pp1/2p1qb1p/1p2p3/4P3/3PB1RP/1Pn3PK/3Q4 w - - 0 28,d1c2
Be6,r2q1rk1/ppp3bp/6p1/4p3/2Pn2b1/5PPN/PB2P1BP/R2Q1RK1 b - - 0 16,g4e6
cxd5,r1b1k2r/ppp1qppp/2n2n2/3pp3/2P5/P1Q1PN2/1P1P1PPP/R1B1KB1R w KQkq - 0 8,c4d5
e6,3rkb1r/ppp1pppp/5n2/1P1P4/8/2N2N2/1PP2PPP/q1BQ1RK1 b k - 2 12,e7e6
Bg7,r2qkb1r/pp2pp1p/2p2np1/5b2/3P4/5N1P/PPP1BPP1/R1BQ1RK1 b kq - 1 9,f8g7
Qxc4,r4rk1/pp2ppbp/2p5/5p2/2Pq4/P1N3P1/2Q1PPBP/2R3K1 b - - 2 19,d4c4
Kb1,2r5/4bk2/3p3B/5P2/pp2P2P/1P3r2/P1P5/2KR3R w - - 0 29,c1b1
Qd1+,3R4/1p3p1k/6p1/7p/3BP1P1/5P1P/3q4/5K2 b - - 7 47,d2d1
Bd5,1rb2rk1/1pR2p1p/6p1/4p3/8/1P4P1/P3PPBP/R5K1 w - - 2 25,g2d5
Ra2,r1b2k2/1pq1pp1p/2n3p1/p1Pp4/5P2/PP2P3/1bPN2PP/R2QKB1R w KQ - 0 13,a1a2
O-O-O,r3kb1r/pp3ppp/2nq1n2/3Np3/2B2B2/5Q2/PPP2PPP/R3K2R w KQkq - 0 11,e1c1
Kxf5,8/6k1/8/4Kp1p/7P/8/8/8 w - - 0 61,e5f5
Be5,r4rk1/pp1nppbp/2pp2p1/7q/P1P1PB2/1N1Q3P/1PP2P2/1R3RK1 b - - 5 16,g7e5
Bxc4,rnbq1rk1/1pp1bppp/p3pn2/8/2pP1B2/2N1PN2/PP3PPP/2RQKB1R w K - 0 8,f1c4
Rxd2,1k1r4/4p3/1p6/pBp1Pppp/1n6/1P2P1P1/1P1R1PP1/R5K1 b - - 0 27,d8d2
h6,rnbqk1nr/2p1ppbp/p2p2p1/1p6/3PP2P/2N1BN2/PPP2PP1/R2QKB1R b KQkq - 0 6,h7h6
Bxf6,7r/8/4pN2/k2pb1pR/pp6/1P4r1/P1P1K3/7R b - - 4 44,e5f6
